step,time,best_field,mean_field,cumulative_best_mean,avg_speed,swarm_radius
286,28.6,-102.564505,-85.37805327,-91.76590047,4.15458107,10.80922598
287,28.7,-101.999401,-85.93116166,-92.50078921,4.005125475,10.50768356
288,28.8,-101.5340315,-86.41200114,-93.2265479,3.879777765,10.20283055
289,28.9,-101.3823324,-86.83055,-93.94139351,3.497983694,9.878069683
290,29,-101.1036509,-87.20560052,-94.6435532,3.186223865,9.530224752
291,29.1,-100.7232541,-87.54973699,-95.33127313,2.945766759,9.157983906
292,29.2,-100.2955687,-87.87485917,-96.00280999,2.908713937,8.772424582
293,29.3,-99.8147359,-88.18244951,-96.65643681,2.90603224,8.368314305
294,29.4,-99.27539908,-88.46790956,-97.29045272,2.759482956,7.926745981
295,29.5,-99.16220729,-88.73360563,-97.90321821,2.667491698,7.451883826
296,29.6,-99.28632888,-88.97680884,-98.49316213,2.956975591,6.947316582
297,29.7,-99.56030474,-89.18372981,-99.05879563,3.373071361,6.414986095
298,29.8,-99.84093194,-89.33937749,-99.59874019,3.513090229,5.855902829
299,29.9,-100.1071689,-89.42562499,-100.1117116,3.784714651,5.256752731
300,30,-100.3300863,-89.5093093,-100.5965365,3.823770857,4.650262867
301,30.1,-100.4828617,-89.48354988,-101.0521755,3.997617531,4.024224297
302,30.2,-100.5429961,-89.38098342,-101.4777284,3.996842718,3.657107877
303,30.3,-100.4940532,-89.21539434,-101.8725136,3.733456445,3.663158068
304,30.4,-100.3263335,-89.09390526,-102.2371645,3.371373934,3.605765035
305,30.5,-100.0373868,-88.93876118,-102.5705783,3.304849231,3.511167304
306,30.6,-99.79576645,-88.75792695,-102.8705529,3.196312904,3.452424413
307,30.7,-99.61281787,-88.57884189,-103.1559925,3.216091967,3.496679522
308,30.8,-99.65863282,-88.440449,-103.4247111,3.368585777,3.713376971
309,30.9,-99.90276632,-88.40674718,-103.647438,3.322934008,3.8820855
310,31,-100.2986929,-88.41851779,-103.7784484,3.368609715,4.046147441
311,31.1,-100.6932245,-88.5345412,-103.8471419,3.163312149,4.149042441
312,31.2,-101.0633757,-88.74522891,-103.8582654,3.083318233,4.367563512
313,31.3,-101.387819,-89.02397914,-103.8582654,3.225067616,4.660051628
314,31.4,-101.6457815,-89.41597787,-103.8582654,3.456344199,4.92322093
315,31.5,-101.7723183,-89.93051013,-103.8582654,3.42668848,5.112957059
316,31.6,-101.7882335,-90.54623379,-103.8582654,3.258148909,5.227876829
317,31.7,-101.7138356,-91.1992473,-103.8582654,3.03802619,5.271718589
318,31.8,-101.5678897,-91.87122493,-103.8582654,3.221296859,5.246950704
319,31.9,-101.3691769,-92.54152914,-103.8582654,3.364459968,5.152669002
320,32,-101.1390201,-93.18149001,-103.8582654,3.377490819,4.975970645
321,32.1,-100.9071117,-93.76720005,-103.8638431,3.409555674,4.713314359
322,32.2,-100.7146193,-94.31247683,-103.9392274,3.656146967,4.366011107
323,32.3,-100.5574516,-94.80019742,-104.0177758,3.967206049,3.96126698
324,32.4,-100.3993207,-95.19525558,-104.0983951,4.274174094,3.514172426
325,32.5,-100.2291943,-95.48376325,-104.1805912,4.208285499,3.106594204
326,32.6,-100.2526468,-95.65607488,-104.2654634,4.168802035,2.74337671
327,32.7,-101.1109426,-95.77035919,-104.3553872,4.185514569,2.637653077
328,32.8,-101.9040002,-95.82683181,-104.452063,4.248445439,2.699486103
329,32.9,-102.6418612,-95.82443672,-104.5558408,4.335056162,2.755731682
330,33,-103.3217547,-95.76121798,-104.6656358,4.475387573,2.866600563
331,33.1,-103.9370187,-95.57757916,-104.787666,4.638675261,3.270046138
332,33.2,-104.4855967,-95.42390915,-104.9239353,4.500427151,3.65030878
333,33.3,-104.8772122,-95.26479183,-105.0502929,4.301763678,3.954386185
334,33.4,-105.1333924,-95.10834729,-105.1691753,4.137712574,4.176131805
335,33.5,-105.2706233,-94.99259903,-105.2819228,4.071768808,4.298309747
336,33.6,-105.3559525,-94.87814523,-105.3887243,4.277789927,4.388773943
337,33.7,-105.3840418,-94.76482929,-105.4890251,4.398376465,4.445067752
338,33.8,-105.3488835,-94.64238243,-105.5731833,4.508032608,4.470233554
339,33.9,-105.2434249,-94.56111694,-105.6154113,4.482288551,4.45863483
340,34,-105.0609775,-94.56103687,-105.6154113,4.592736149,4.402003848
341,34.1,-104.7956974,-94.58350364,-105.6154113,4.674943733,4.321108818
